trial,emd,loss,ensemble_size,model_size
averaging_small_fixed_mask_ensemble_size2_seed963241121,1.455,0.015,2,small_fixed
averaging_large_fixed_mask_ensemble_size2_seed2,1.455,0.011,2,large_fixed
averaging_small_fixed_mask_ensemble_size8_seed1,1.462,0.013,8,small_fixed
averaging_medium_fixed_mask_ensemble_size2_seed2,1.465,0.018,2,medium_fixed
averaging_large_shared_io_layers_ensemble_size2,1.48,0.014,2,large_shared_input_output_layers
averaging_large_shared_io_layers_ensemble_size16,1.482,0.013,16,large_shared_input_output_layers
averaging_medium_ensemble_size4_seed524926359,1.483,0.017,4,medium
averaging_large_fixed_mask_ensemble_size2_seed432384445,1.488,0.014,2,large_fixed
averaging_medium_ensemble_size2_seed2,1.507,0.021,2,medium
averaging_small_ensemble_size2_seed963241121,1.515,0.017,2,small
averaging_small_ensemble_size2_seed1,1.519,0.017,2,small
averaging_large_fixed_mask_ensemble_size4_seed1,1.527,0.014,4,large_fixed
averaging_small_fixed_mask_ensemble_size2_seed1,1.542,0.017,2,small_fixed
averaging_medium_fixed_mask_ensemble_size2_seed524926359,1.548,0.023,2,medium_fixed
averaging_small_fixed_mask_ensemble_size2_seed2,1.564,0.02,2,small_fixed
large_same_io_scale_ensemble_size2,1.566,0.018,2,large_same_io_scale
averaging_weak1_ensemble_size32_seed1665510883,1.567,0.013,32,weak1
averaging_weak1_two_hundred_epochs_ensemble_size32_seed1665510883,1.567,0.013,32,weak1_200epochs
averaging_medium_ensemble_size2_seed524926359,1.579,0.018,2,medium
averaging_small_fixed_mask_ensemble_size32_seed2,1.588,0.018,32,small_fixed
averaging_small_ensemble_size4_seed963241121,1.593,0.015,4,small
averaging_small_ensemble_size4_seed2,1.601,0.016,4,small
averaging_weak1_two_hundred_epochs_ensemble_size32_seed1,1.605,0.013,32,weak1_200epochs
averaging_weak1_ensemble_size32_seed1,1.605,0.013,32,weak1
averaging_large_ensemble_size32_seed432384445,1.625,0.027,32,large
averaging_weak1_two_hundred_epochs_ensemble_size16_seed1,1.637,0.014,16,weak1_200epochs
averaging_weak1_ensemble_size16_seed1,1.637,0.014,16,weak1
averaging_weak1_ensemble_size16_seed1665510883,1.655,0.017,16,weak1
averaging_weak1_two_hundred_epochs_ensemble_size16_seed1665510883,1.655,0.017,16,weak1_200epochs
averaging_medium_ensemble_size2_seed1,1.67,0.022,2,medium
averaging_weak1_ensemble_size8_seed1,1.673,0.017,8,weak1
averaging_weak1_two_hundred_epochs_ensemble_size8_seed1,1.673,0.017,8,weak1_200epochs
averaging_medium_fixed_mask_ensemble_size32_seed2,1.678,0.027,32,medium_fixed
small_same_io_scale_ensemble_size4,1.69,0.025,4,small_same_io_scale
averaging_weak1_two_hundred_epochs_ensemble_size4_seed1,1.694,0.019,4,weak1_200epochs
averaging_weak1_ensemble_size4_seed1,1.694,0.019,4,weak1
averaging_weak1_ensemble_size32_seed2,1.714,0.018,32,weak1
averaging_weak1_two_hundred_epochs_ensemble_size32_seed2,1.714,0.018,32,weak1_200epochs
averaging_weak1_ensemble_size16_seed2,1.748,0.02,16,weak1
averaging_weak1_two_hundred_epochs_ensemble_size16_seed2,1.748,0.02,16,weak1_200epochs
averaging_weak1_two_hundred_epochs_ensemble_size4_seed2,1.751,0.022,4,weak1_200epochs
averaging_weak1_two_hundred_epochs_ensemble_size2_seed1,1.76,0.024,2,weak1_200epochs
averaging_weak1_two_hundred_epochs_ensemble_size2_seed2,1.765,0.025,2,weak1_200epochs
averaging_weak1_ensemble_size4_seed2,1.777,0.022,4,weak1
small_same_io_scale_ensemble_size8,1.792,0.029,8,small_same_io_scale
averaging_weak1_ensemble_size2_seed1,1.807,0.026,2,weak1
averaging_small_ensemble_size2_seed2,1.817,0.026,2,small
averaging_weak1_two_hundred_epochs_ensemble_size8_seed2,1.83,0.026,8,weak1_200epochs
averaging_weak1_ensemble_size2_seed2,1.832,0.027,2,weak1
large_same_io_scale_ensemble_size4,1.844,0.021,4,large_same_io_scale
small_same_io_scale_ensemble_size2,1.872,0.034,2,small_same_io_scale
averaging_weak1_ensemble_size2_seed1665510883,1.876,0.031,2,weak1
averaging_weak1_two_hundred_epochs_ensemble_size2_seed1665510883,1.876,0.031,2,weak1_200epochs
averaging_weak1_ensemble_size8_seed1665510883,1.879,0.025,8,weak1
averaging_weak1_ensemble_size8_seed2,1.919,0.026,8,weak1
averaging_medium_ensemble_size16_seed2,1.93,0.031,16,medium
averaging_weak1_ensemble_size4_seed1665510883,1.981,0.031,4,weak1
averaging_weak1_two_hundred_epochs_ensemble_size4_seed1665510883,1.981,0.031,4,weak1_200epochs
averaging_medium_fixed_mask_ensemble_size2_seed1,2.009,0.035,2,medium_fixed
averaging_large_ensemble_size4_seed2,2.034,0.033,4,large
large_same_io_scale_ensemble_size8,2.077,0.032,8,large_same_io_scale
averaging_medium_fixed_mask_ensemble_size4_seed524926359,2.115,0.042,4,medium_fixed
